license_no,company,state,postcode,phone,address,license_year,osa_code
MALLI20260903,UNISON NUTRACEUTICALS SDN. BHD.,Melaka,75450,606-2321399,"NO. 13, JALAN TASIK UTAMA 52, KAWASAN PERINDUSTRIAN TASIK UTAMA, , AYER KEROH",2026,1033497
MALLI20260994,Vital & Living Pharmacy Sdn Bhd,W.P. Kuala Lumpur,50480,03-6206 2450,"E-08-09 Plaza Mont Kiara, No. 2, Jalan Kiara Mont Kiara, , KUALA LUMPUR",2026,1132566
MALLI20260878,ROSLIND ENTERPRISE (M) SDN. BHD.,Selangor,47130,,"NO. 3, JALAN TPP 10, TAMAN PERINDUSTRIAN PUTRA, , PUCHONG",2026,1206040
MALLI20260989A,NOVARTIS CORPORATION (MALAYSIA) SDN. BHD.,Selangor,47400,,"LEVEL 18, IMAZIUM, NO. 8, JALAN SS 21/37, DAMANSARA UTAMA, , PETALING JAYA",2026,956066
MALLI20261351,SOUTHERN CRESCENT SDN BHD,Negeri Sembilan,70300,011-10681200,"NO. 350-A, JALAN S2 B8, SEKSYEN B, UPTOWN AVENUE BUSINESS PARK, SEREMBAN 2, SEREMBAN",2026,1317238
MALLI20261009,VS INTERNATIONAL,Sabah,88450,0379683383,"LOT 6, LORONG DURIAN 3, KIAN YAP INDUSTRIAL ESTATE, MILE 5 1/2, JALAN TUARAN, KOTA KINABALU",2026,1041308
MALLI20260830A,ABBVIE SDN BHD,Selangor,47410,+603 7883 6888 / +603 7883 6908 / +603 7883 6860,"9th Floor, Menara Lien Hoe, No. 8, Persiaran Tropicana, Tropicana Golf & Country Resort, PETALING JAYA",2026,1033692
MALLI20262260,OXYBENEFITS HEALTH SDN. BHD.,W.P. Kuala Lumpur,50300,,"NO. 10, BLOCK E, LEVEL 1, WISMA RKT, JALAN RAJA ABDULLAH OFF JALAN SULTAN ISMAIL, , KUALA LUMPUR",2026,1334834
MALLI20260838,Bioalpha International Sdn. Bhd.,Selangor,43650,03-8925 1222,"No. 10, Jalan P/9A, Seksyen 13, , BANDAR BARU BANGI",2026,1118925
MALLI20261141A,GRIFOLS MALAYSIA SDN. BHD.,Selangor,47810,+60364162620,"SUITE 12-8, THE OFFICE CLUB, LEVEL 12, MENARA MUDAJAYA, NO. 12A, JALAN PJU 7/3, MUTIARA DAMANSARA, PETALING JAYA",2026,1323876
MALLI20260834,Medexp Sdn Bhd,Selangor,47810,03-61488119,"No. 12, Lorong Teknologi B, Nouvelle Industrial Park, Taman Sains Selangor 1, Kota Damansara, PJU5, PETALING JAYA",2026,1142527
MALLI20261262,Resvenus Niaga Sdn. Bhd.,Selangor,47810,03-48181275,"A-06-20 & A-06-21, KOMPLEKS PERINDUSTRIAN EMHUB, PERSIARAN SURIAN, SEKSYEN 3, TAMAN SAINS SELANGOR KOTA DAMANSARA, PETALING JAYA",2026,1325166
MALLI20262291,ORGANIXS CANADA SDN. BHD.,Selangor,47600,01153810200/ 01172624944,"Lot S2-13A, Second Floor, The Summit Subang USJ, Persiaran Kewajipan, USJ 1, , SUBANG JAYA",2026,1329256
MALLI20260979A,Takeda Malaysia Sdn Bhd,Selangor,46200,60379533100,"Unit TB-L 13-1, Level 13, Tower B, Plaza 33, No. 1, Jalan Kemajuan, Seksyen 13, PETALING JAYA",2026,999740
MALLI20260876A,World Medicare Supplies Sdn Bhd,Selangor,43200,,"NO. 62A-2, JALAN TEMENGGUNG 19/9, BANDAR MAHKOTA CHERAS, , CHERAS",2026,1205679
MALLI20261416,Herbion Sdn. Bhd.,Selangor,47301,03-56382024,"UNIT 231, BLOCK A, KELANA CENTRE POINT, NO. 3, JALAN SS 7/19, KELANA JAYA, PETALING JAYA",2026,955726
MALLI20261132A,APEX PHARMACY MARKETING SDN. BHD.,Selangor,47500,03-56293688,"NO. 2, JALAN SS 13/5, , SUBANG JAYA",2026,56202
MALLI20260997A,PHARMEX SDN BHD,Sabah,88300,088-724998,"LOT 11 -15, WK COMMERCIAL CENTRE,, KM 8, JALAN BUNDUSAN, PENAMPANG, , KOTA KINABALU",2026,56253
MALLI20260912,DIONE HEALTHCARE HOLDINGS MALAYSIA SDN. BHD.,Johor,79100,,"18A, JALAN CERIA 1A, TAMAN NUSA INDAH, , ISKANDAR PUTERI",2026,1183853
MALLI20261005,Superb Health Care Sdn Bhd,Sabah,88450,088448989,"GROUND FLOOR, FIRST FLOOR, SECOND FLOOR, UNIT 67 & 68, BLOCK K, ALAMESRA PLAZA UTAMA, JALAN SULAMAN, KOTA KINABALU",2026,1110648
MALLI20260914,UNITED HERBAL SDN BHD,Selangor,41200,0167028534,"NO. 9-1, LORONG SG SAMA GAGAH 19A/2, TAMAN TELUK GEDUNG INDAH, , KLANG",2026,1131844
MALLI20260942A,UBISSON SDN BHD,Sarawak,96000,084333858,"No. 35, 1st and 3rd Floor, Pusat Pedada, Jalan Pedada, , SIBU",2026,1141617
MALLI20261300,Melaleuca Southeast Asia (malaysia) Sdn. Bhd.,W.P. Kuala Lumpur,59000,03-23304688,"Unit B-10-3A & 5, Level 10, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, KUALA LUMPUR",2026,1117125
MALLI20261564A,BSV BIOSCIENCE MALAYSIA SDN. BHD.,Selangor,46300,03-78903018,"NO. 3, JALAN 19/1, SEKSYEN 19, , PETALING JAYA",2026,76027
MALLI20261138A,Vanguard Aesthetics Sdn. Bhd.,Selangor,46200,0379314448,"UNIT A-25-06, PINNACLE PETALING JAYA, JALAN UTARA C, , PETALING JAYA",2026,1187635
MALLI20260980,PROBIOHEALTH SDN. BHD.,Sabah,88300,,"Lot 7, 1st Floor, Block A, Luyang Commercial Centre, Lorong Pokok Kayu Manis, , KOTA KINABALU",2026,1317097
MALLI20261306,DOUBLE STRENGTH SDN. BHD.,Selangor,40160,,"NO. 11G, JALAN NAUTIKA B U20/B, PUSAT KOMERSIAL TSB, SEKSYEN U20, SHAH ALAM",2026,1316599
MALLI20261008,MORETH SDN. BHD.,Selangor,47620,603-80262749,"NO. 11, TINGKAT 1, JALAN TP 5, TAMAN PERINDUSTRIAN UEP, , SUBANG JAYA",2026,4121
MALLI20261344,Phri Bio-Tech Sdn Bhd,Pulau Pinang,11700,04-6552233,"1-3-31, E-GATE BUSINESS CENTRE, LEBUH TUNKU KUDIN 2, , GELUGOR",2026,1119777
MALLI20260987,VIGORACE SDN BHD,Selangor,46050,03-79569981,"E-10-01, MENARA MELAWANGI, PUSAT PERDAGANGAN AMCORP, NO. 18, JALAN PERSIARAN BARAT, PETALING JAYA",2026,56161
MALLI20260990A,HEALOL PHARMACEUTICALS SDN. BHD.,W.P. Kuala Lumpur,53300,41427106,"NO. 74-3, JALAN WANGSA DELIMA 6, KLSC WANGSA MAJU, KUALA LUMPUR",2026,55913
MALLI20260992,Huiji (Malaysia) Sdn Bhd,Johor,81550,075570939,"10, JALAN LAMAN SETIA 7/1, TAMAN LAMAN SETIA, , GELANG PATAH",2026,936337
MALLI20260943A,Nam Pharma Sdn. Bhd.,Perak,31200,"05-2931838,1839","5, LEBUH PERUSAHAAN KLEBANG 11, TAMAN PERINDUSTRIAN ANTARABANGSA IGB, , CHEMOR",2026,1041335
MALLI20261414,PERNIAGAAN NORMAHAS SDN. BHD.,W.P. Kuala Lumpur,53000,,"1-5-10, 5TH BLOCK C, DIAMOND SQUARE (JALAN SEMARAK API), JALAN 1/50 OFF JALAN GOMBAK, KUALA LUMPUR",2026,1334353
MALLI20260999,Dong Foong Manufacturing Sdn Bhd,Selangor,43000,0387415657,"No. 42, Jalan Seksyen 1/21, Taman Kajang Utama, , KAJANG",2026,1111535
MALLI20260906,Special Enhancement Sdn Bhd,Selangor,47810,03-76514593,"D-20-03, MENARA MITRALAND, NO. 13A, JALAN PJU 5/1, KOTA DAMANSARA, PJU 5, PETALING JAYA",2026,1116644
MALLI20260910,BIING HAN ENTERPRISE SDN. BHD.,W.P. Kuala Lumpur,55100,03-21449326,"NO. 221, TINGKAT BAWAH & MEZZANINE, JALAN PUDU, , KUALA LUMPUR",2026,55897
MALLI20260977A,Synercam (M) Sdn Bhd,Selangor,46200,0378653030,"A-17-7, BLOCK A, JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, SEKSYEN 13, PETALING JAYA",2026,1270736
MALLI20260913A,SYNERRV SDN BHD,W.P. Kuala Lumpur,59200,0322010259,"SO-29-2, Menara 1, KL Eco City, Jalan Bangsar, Kg Haji Abdullah Hukum, , BANGSAR",2026,1128539
MALLI20261006A,ZULAT PHARMACY SDN. BHD.,W.P. Kuala Lumpur,53100,03-41072061,"NO. 23 & 23A, JALAN BANDAR 3, TAMAN MELAWATI, , KUALA LUMPUR",2026,1033388
MALLI20261153A,Haleon Malaysia Sdn. Bhd.,Selangor,68000,03-74912020,"LOT 89, JALAN ENGGANG, AMPANG/HULU KELANG INDUSTRIAL ESTATE, AMPANG",2026,1111845
MALLI20260976A,MEDI-DIAGNOSTIC SOLUTIONS (M) SDN. BHD.,Selangor,47800,03-77285830,"NO. 23-1 & 23-2, JALAN PJU 7/16A, MUTIARA DAMANSARA, , PETALING JAYA",2026,1033599
MALLI20261114A,INSPIRAPHARMA SDN. BHD.,Perak,32610,,"LOT 120, TAMAN FARMASEUTIKAL, BANDAR SERI ISKANDAR, , SERI ISKANDAR",2026,1193076
MALLI20260981A,Synergy Meditech (M) Sdn Bhd,Selangor,46200,,"A-17-7, BLOCK A, JAYA ONE, NO. 72, JALAN PROFESOR DIRAJA UNGKU AZIZ , SEKSYEN 13 , PETALING JAYA",2026,1272554
MALLI20260986A,CIPLA MALAYSIA SDN BHD,Selangor,46050,0379562676,"Suite 1101, Amcorp Tower, Amcorp Trade Centre, 18, Persiaran Barat, PETALING JAYA",2026,947237
MALLI20261001,Synergy Worldwide Marketing Sdn  Bhd,Selangor,47400,60377108228,"G11 & G13, BLOCK A, TROPICANA CITY BUSINESS PARK (DAMANSARA INTAN), NO. 1, JALAN SS 20/27, , PETALING JAYA",2026,1114030
MALLI20261007,P.T MUSTIKA RATU (M) SDN. BHD.,W.P. Kuala Lumpur,56100,03-9286 1626,"WISMA MUSTIKA RATU, NO. 10, JALAN 5/91A, TAMAN SHAMELIN PERKASA, BATU 3 1/2, JALAN CHERAS, KUALA LUMPUR",2026,945
MALLI20260836,BIO-PHARMACEUTICALS SDN. BHD.,Selangor,40460,03 5131 9343/42,"NO. 48-2, JALAN SUNGAI BURUNG AA32/AA, BUKIT RIMAU, SEKSYEN 32, SHAH ALAM",2026,55860
MALLI20260909A,Abio Marketing Sdn Bhd,Selangor,47500,03-56293688,"NO. 2, JALAN SS 13/5 , , , SUBANG JAYA",2026,1155426
MALLI20260744,DERMASUNG SDN BHD,W.P. Kuala Lumpur,50480,0362119621,"A1-03-16, ARCORIS BUSINESS CENTRE, 10, JALAN KIARA, MONT KIARA, , KUALA LUMPUR",2026,1154757
MALLI20260745,NEWAGE SDN. BHD.,Selangor,40300,03-5542 8483,"Lot 2, Kawasan MIEL Shah Alam Fasa 10, Jalan 23/5, Seksyen 23, , SHAH ALAM",2026,55881
MALLI20260703,MARKET MALAYSIA SHOP SDN. BHD.,W.P. Kuala Lumpur,59200,0322893388,"BO3-A07-1, MENARA 3A, NO. 3, JALAN BANGSAR, KL ECO CITY, KUALA LUMPUR",2026,1112508
MALLI20260736,Absolute Pharma Sdn Bhd,W.P. Kuala Lumpur,53300,03-41427106,"74-3, Jalan Wangsa Delima 6, KLSC Wangsa Maju, , KUALA LUMPUR",2026,1192388
MALLI20260711,KUALA LUMPUR PHARMACY (W.O.) SDN. BHD.,W.P. Kuala Lumpur,52100,,"No. 16 & 18, Block H, Jalan 5/40, Taman Pusat Kepong, , KUALA LUMPUR",2026,1271599
MALLI20260708,SG GLOBAL BIOTECH SDN. BHD.,Selangor,41400,03-33410713,"LOT 1388, BLOCK A, BATU 2 1/2, JALAN KAPAR, , KLANG",2026,1115293
MALLI20260709,SEW CHEONG CORPORATION SDN BHD,Perak,30300,05-2438888,"2-20A, JALAN LAXAMANA, , , IPOH",2026,1033586
MALLI20260788A,Prima Inter-chem Sdn. Bhd.,Selangor,40460,603-57406060,"No. 4, Jalan Sungai Kayu Ara 32/38, Taman Berjaya Industrial Park, Seksyen 32, SHAH ALAM",2026,1041317
MALLI20261307,HIMALAYA WELLNESS MALAYSIA SDN. BHD.,Selangor,47100,0184019890,"LOT NO. 2F-3, (2ND FLR), TOWER 1 @ PFCC, JALAN PUTERI 1/2, BANDAR PUTERI, PUCHONG",2026,1336950
MALLI20260705,KAHONG SDN. BHD.,Sarawak,93450,082-4119912,"LOT 1316, JALAN TENUN OFF JALAN TENAGA, PENDING INDUSTRIAL ESTATE, , KUCHING",2026,1146578
MALLI20260752,MEDLEY HERBAL PRODUCTS,Selangor,47100,60122676115,"UG-12 ,1st Floor, Komplex Puchong Perdana (Puchong Parade), Jalan Kekwa 3/1, Taman Puchong Perdana, PUCHONG",2026,1033528
MALLI20260740A,ZIWELL MEDICAL SDN. BHD.,Selangor,46200,03-7960 1960,"LOT A2-14, PJ INDUSTRIAL PARK, JALAN KEMAJUAN, SECTION 13, , PETALING JAYA",2026,724
MALLI20260983,EXCEL HERBAL INDUSTRIES SDN. BHD.,Selangor,48000,011-10243721,"NO. 48 & 49, JALAN VELOX 2 TAMAN VELOX RAWANG INDUSTRIAL PARK, , , RAWANG",2026,1132407
MALLI20260734,CELLGEN LIFESCIENCES (M) SDN. BHD.,W.P. Kuala Lumpur,59200,03-22872286,"UNIT 11-8, LEVEL 8, THE BOULEVARD, MID VALLEY CITY, LINGKARAN SYED PUTRA, KUALA LUMPUR",2026,56119
MALLI20260973,ASPEN SARL SDN. BHD.,Selangor,46150,03-5637 8232,"NO. 9, JALAN PJS 11/14, BANDAR SUNWAY, , SUBANG JAYA",2026,75798
MALLI20261299,WENG SENG HENG MEDICAL HALL SDN. BHD.,Pulau Pinang,10300,04-2616428,"219 (TINGKAT BAWAH) & 221, LEBUH PANTAI, ,",2026,55846
MALLI20260675A,STERLING DRUG (MALAYA) SDN. BHD.,Selangor,68000,03-74912020,"Lot 89, Jalan Enggang, Ampang/Hulu Kelang Industrial Estate, , AMPANG",2026,75959
MALLI20260874A,RANGE PHARMA SDN. BHD.,Selangor,47000,03-61568708,"NO. 1, JALAN TSB 11, TAMAN INDUSTRI SUNGAI BULOH, , SUNGAI BULOH",2026,1106134
MALLI20260707,RIWAY (MALAYSIA) SDN BHD,Selangor,40150,03-77345939,"NO. 12, JALAN TIANG U8/91, TAMAN PERINDUSTRIAN BUKIT JELUTONG, SEKSYEN U8, SHAH ALAM",2026,1121325
MALLI20260663,Rank Distributors Sdn. Bhd.,W.P. Kuala Lumpur,55100,0321166688,"18-01-01B, Menara Cosway, Plaza Berjaya , 12, Jalan Imbi , KUALA LUMPUR",2026,1122628
MALLI20262316,TIAN XIAN (MALAYSIA) SDN. BHD.,W.P. Kuala Lumpur,58200,,"B-1-3A, SERI GEMBIRA AVENUE, NO. 6, JALAN SENANG RIA, TAMAN GEMBIRA, KUALA LUMPUR",2026,1337535
MALLI20261142A,Transmedic Healthcare Sdn. Bhd.,W.P. Kuala Lumpur,50480,603-62053888,"B4-1-1, Solaris Dutamas, No. 1, Jalan Dutamas 1, , KUALA LUMPUR",2026,56216
MALLI20260662,Biolyn Health Risk Management (M) Sdn. Bhd.,Selangor,43500,0387278166,"NO. 2, JALAN SEMTEC 2, SEMTEC PARK, , SEMENYIH",2026,1185648
MALLI20260661A,ABBOTT LABORATORIES (M) SDN. BHD.,Selangor,47400,03-7988 7000,"LEVEL 27-02, IMAZIUM, JALAN SS21/37, DAMANSARA UPTOWN, , PETALING JAYA",2026,1204170
MALLI20260741A,Weissen Company (m) Sdn. Bhd.,Selangor,48000,,"Lot 105, No. 84, Jalan Velox 23, Taman Velox, , RAWANG",2026,1322884
MALLI20260978,Esprit Care Sdn. Bhd.,Selangor,47100,03-80604228,"NO. 65, 67 & 69, JALAN TPP 1/13, TAMAN PERINDUSTRIAN PUCHONG, BATU 12, , PUCHONG",2026,75887
MALLI20260742,YOUNG LIVING MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,59200,0327148600,"GROUND FLOOR, TOWER 7, AVENUE 3, BANGSAR SOUTH, NO. 8, JALAN KERINCHI, , BANGSAR",2026,1105277
MALLI20260911,BLACKMORES (MALAYSIA) SDN. BHD.,Selangor,40150,60350228280,"Unit No. 7-05-01, Level 5, Tower 7, UOA Business Park, No. 1, Jalan Pengaturcara U1/51A, Seksyen U1, SHAH ALAM",2026,1126454
MALLI20260833,HAI-O MEDICINE SDN. BHD.,Selangor,41400,03-33436458,"WISMA HAI-O, LOT 11995 , BATU 2, JALAN KAPAR, , KLANG",2026,605
MALLI20261563,HENDA NATURAL SDN BHD,Selangor,41200,0166662582,"NO. 22-1B, JALAN RESAK 1/KS7, BANDAR BOTANIK, , KLANG",2026,1138567
MALLI20261003,ARDENCE PHARMA SDN BHD,Selangor,46350,03-74987997,"108, BLOCK E, PHILEO DAMANSARA 1, NO. 9, JALAN 16/11, PETALING JAYA",2026,1160242
MALLI20260831,K-ONE WELLNESS SDN. BHD.,Selangor,47400,6055293888,"66, JALAN SS 22/21, DAMANSARA JAYA, , PETALING JAYA",2026,1310719
MALLI20261150A,INSTAMED ASIA SDN BHD,Selangor,46350,,"108, Block E, Phileo Damansara 1, No. 9, Jalan 16/11, , PETALING JAYA",2026,1323823
MALLI20260754,PHARMASUISSE MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,51200,0378806473,"2-6-9, MENARA KLH BUSINESS CENTRE, JALAN KASIPILLAY OFF JALAN SULTAN AZLAN SHAH, JALAN IPOH, KUALA LUMPUR",2026,1319180
MALLI20260753,MEDICINSPIRE GLOBAL SDN BHD,W.P. Kuala Lumpur,52200,0362728498,"B-5-28, ATIVO PLAZA,, NO. 1, JALAN PJU 9/1, DAMANSARA AVENUE,, BANDAR SRI DAMANSARA,, KUALA LUMPUR",2026,1160819
MALLI20260787,GOBUY TRADING SDN BHD,Selangor,43000,0129321392,"222, Jalan Kajang Jaya 8, Taman Kajang Jaya, , KAJANG",2026,1269197
MALLI20260789,RIVER PHARMA MALAYSIA SDN. BHD.,W.P. Kuala Lumpur,52100,,"2.06.09, MENARA KLH BUSINESS CENTRE, JALAN KASIPILLAY MELALUI JALAN IPOH, , KUALA LUMPUR",2026,1309227
MALLI20260828,HL PHARMACEUTICALS SDN. BHD.,W.P. Kuala Lumpur,51000,0340419182,"NO. 760 & 762, JALAN SENTUL, , SENTUL",2026,1126319
MALLI20261224A,Intervet (m) Sdn Bhd,Selangor,47301,+60374991671,"B-22-1 & B-22-2, The Ascent Paradigm, No. 1, Jalan SS 7/26A, Kelana Jaya, PETALING JAYA",2026,1150016
MALLI20260829,Old Ivy Ventures Sdn. Bhd.,Selangor,47810,0192307993,"A-16-1, Blok A, Sunway Giza, No.2, Jalan PJU 5/14, Kota Damansara, PETALING JAYA",2026,943334
MALLI20261136A,Subang Chemist Sdn. Bhd,Selangor,47200,,"No. 10, Jalan PJU 1A/11, Taman Perindustrian Jaya, Ara Damansara, PETALING JAYA",2026,1317304
MALLI20260749,Allinon Advance Technology Sdn. Bhd.,Pulau Pinang,11700,046608669,"28 (Tingkat Bawah), Desa Permai Indah, Lorong Helang 2, , GELUGOR",2026,1114903
MALLI20260826,TIGER BALM (M) SDN. BHD.,Johor,81100,607-2891166,"PLO 95, NO. 6, JALAN FIRMA 1/1, TEBRAU INDUSTRIAL ESTATE, JOHOR BAHRU",2026,1033477
MALLI20262212,LINTAN ENTERPRISE SDN.BHD,Sabah,88100,088-902842,"UNIT NO. C-2-5, BLOCK C, 2ND FLOOR, PLAZA TANJUNG ARU, JALAN MAT SALLEH, KOTA KINABALU",2026,6559
MALLI20260832,HDI NETWORK (M) SDN. BHD.,Selangor,47620,03-56330908,"NO. 23, JALAN USJ 10/1A, USJ 10, , , SUBANG JAYA",2026,55872
MALLI20260743,NATURES SCIENCEUTICALS SDN BHD,W.P. Kuala Lumpur,50480,0362000621,"L-7-1, No. 2, Jalan Solaris, Solaris Mont Kiara, , KUALA LUMPUR",2026,941469
MALLI20260835A,PET ARCADE SDN BHD,Selangor,47100,0380600387/0122290973,"32, Jalan Puteri 5/18, Bandar Puteri, , PUCHONG",2026,1131777
MALLI20260735,EXTRA EXCEL (MALAYSIA) SDN. BHD.,Selangor,47400,03-7660 7788,"1001A, Level 10, Tower A, Uptown 5, No. 5, Jalan SS21/39, Damansara Utama, , PETALING JAYA",2026,1273110
MALLI20260738,TOTAL IMAGE REGIONAL (M) SDN. BHD.,W.P. Kuala Lumpur,58000,0322761366,"17-01, Level 17, Menara MBMR, 1, Jalan Syed Putra, , KUALA LUMPUR",2026,1145137
MALLI20260985A,FRESENIUS MEDICAL CARE MALAYSIA SDN. BHD.,Selangor,46100,0379579866,"SECOND FLOOR, AXIS TECHNOLOGY CENTRE, LOT 13, JALAN 51A/225, , PETALING JAYA",2026,55977
MALLI20260739,CHINESE PATENT MEDICINES & MEDICATED LIQUORS CENTRE (PENANG) SDN. BHD.,Pulau Pinang,10050,04-2621321,"16, Jalan Dato Koyah, , , GEORGETOWN",2026,1270866
MALLI20261459,PHAMASINDO SDN. BHD.,W.P. Kuala Lumpur,52100,0362774000,"LOT 179, BLOCK V, JALAN SRI EHSAN 9, TAMAN PERINDUSTRIAN SRI EHSAN, KEPONG",2026,1160484
MALLI20260737,Carepro Marketing Sdn. Bhd.,Selangor,47100,0358889397,"NO. 54, JALAN BP 5/11, BANDAR BUKIT PUCHONG, , PUCHONG",2026,1149355
MALLI20261094A,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.,Melaka,75250,06-3351515,"1-5, CHENG INDUSTRIAL ESTATE, ,",2026,656
MALLI20260785,SINMA MEDICAL HOLDING SDN.BHD.,Selangor,43000,0387336903,"NO. 86, JALAN DESA KIAMBANG 1, DESA KIAMBANG, , KAJANG",2026,55863
MALLI20260837A,Age D`or Sdn. Bhd.,Selangor,40460,0351217212,"15, JALAN 31/54, KOTA KEMUNING, SEKSYEN 31, , SHAH ALAM",2026,932969
MALLI20261418A,UNIMED SDN. BHD.,W.P. Kuala Lumpur,52200,03-62617635,"No. 53, Jalan Tembaga SD5/2B, Bandar Sri Damansara, , KUALA LUMPUR",2026,75547
MALLI20261536A,IDAMAN PHARMA SDN. BHD.,W.P. Kuala Lumpur,53300,0341425199,"NO. 15 & 17, JALAN WANGSA DELIMA 1A, SEKSYEN 5, PUSAT BANDAR WANGSA MAJU, , KUALA LUMPUR",2026,1033469
MALLI20262247A,Agro-farmchem Sdn Bhd,Selangor,47500,03-5633 3279,"No. 5, Jalan SS13/3A, Subang Jaya Industrial Park, , SUBANG JAYA",2026,1120528
MALLI20261415,Wellness Concept (m) Sdn Bhd,Selangor,47400,0377279999,"Unit A-1-5, A-2-5, A-3-5, Block Allamanda, 10 Boulevard, Lebuhraya Sprint PJU 6A, , PETALING JAYA",2026,1118193
MALLI20261460,Farmasi R.S. Sdn Bhd,Perak,30100,"05-5271279, 05-5263402","361 & 363, JALAN SILIBIN, TAMAN SAZ, , IPOH",2026,1124224
MALLI20261461A,IED HEALTHCARE SDN. BHD.,W.P. Kuala Lumpur,53300,,"37-2, Jalan Wangsa Delima 2A, Seksyen 5, Wangsa Maju, KUALA LUMPUR",2026,1271969
MALLI20261565,Perfect Pentagon Sdn Bhd,Selangor,46300,+603-7620 3800,"5TH FLOOR, MENARA ACCESS WORLD, NO. 1, JALAN 19/3, PETALING JAYA",2026,78348
MALLI20262035,ENZYME -TECH MANUFACTURE SDN BHD,Selangor,43650,0389253507,"NO. 46, JALAN P/16, SELAMAN INDUSTRIAL PARK, SECTION 10, BANDAR BARU BANGI",2026,5895
MALLI20262167,Desaku Trading,Selangor,45200,0332248721,"NO. 1, 2 & 3, BANGUNAN IKS, TAMAN SRI NAKHODA, BAGAN NAKHODA OMAR, SABAK BERNAM",2026,11782
MALLI20261566,AXPO SDN. BHD.,Selangor,43650,,"NO.16-2-2B, JALAN MEDAN PB 2A, SEKSYEN 9, PUSAT BANDAR BANGI, BANDAR BARU BANGI",2026,1327943
MALLI20261538,Zenotec Pharma Sdn.bhd.,Selangor,40460,03-51223050,"LEVEL 3-2-2, BLOK 3, PERSIARAN ANGGERIK VANILLA, KOTA KEMUNING, SEKSYEN 31, SHAH ALAM",2026,75884
MALLI20262407A,Hipra Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,50480,012-689 4569,"A-03-03A, BLOCK A, PLAZA MONT KIARA, JALAN KIARA 2, MONT KIARA, , KUALA LUMPUR",2026,1341534
MALLI20262377,PHARM NUTRICIA SDN. BHD.,W.P. Kuala Lumpur,55100,60392055988,"10-8-6,, QUEENS AVENUE,, JALAN BAYAM,, KUALA LUMPUR",2026,1139238
MALLI20261462A,Amgen Biopharmaceuticals Malaysia Sdn Bhd,Selangor,47800,,"HORIZON PENTHOUSE, 1 POWERHOUSE, 1, PERSIARAN BANDAR UTAMA, BANDAR UTAMA, , PETALING JAYA",2026,1331464
MALLI20261422,BUEN BIOCEUTICALS (M) SDN. BHD.,W.P. Kuala Lumpur,52200,,"B-M-13, PLAZA ARKADIA, JALAN INTISARI PERDANA DESA PARKCITY, , KUALA LUMPUR",2026,1329388
MALLI20261346,YES HEALTH SDN BHD,Selangor,40150,0378597755,"UNIT A-07-02, LEVEL 3, BLOK A, NO. 1, JALAN ZUHAL U5/178, SUBANG 2, SEKSYEN U5, SHAH ALAM",2026,1159150
