reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL10012491T,LO HONG KA BA ZHEN TONG,NATURAL PRODUCT,HERCULEAN FOOD INDUSTRIES SDN. BHD.,HERCULEAN FOOD INDUSTRIES SDN. BHD.,2015-01-29,2020-01-29
MAL15015039NC,Opceden MemoGold Capsule,HEALTH SUPPLEMENT,ASIA HEALTHCARE SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.,2015-01-29,2020-01-29
MAL15015040N,VITAMIN BEC + ZINC Tablet,HEALTH SUPPLEMENT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2015-01-29,2020-01-29
MAL15015032NZ,PP Vitamin C 500mg Tablet,HEALTH SUPPLEMENT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2015-01-29,2020-01-29
MAL20101999AZ,BRIDION 100MG/ML SOLUTION FOR INJECTION,NEW CHEMICAL ENTITY,MERCK SHARP & DOHME (MALAYSIA) SDN. BHD.,N.V. ORGANON,2015-01-30,2020-01-30
MAL05023428T,Balm Ummi,NATURAL PRODUCT,SERI MH UMMI SDN BHD,SERI MH UMMI SDN BHD,2015-02-20,2020-02-20
MAL20051327AZ,LIDOCAINE 2%W/V E-80 INJECTION,PRESCRIPTION,INTERNATIONAL TRADING COMPANY,NEW STETIC S.A,2015-02-21,2020-02-21
MAL10021856TR,Extract of Cordyceps Sinensis Mycelia,NATURAL PRODUCT,EU YAN SANG (1959) SDN.BHD.,Chang Gung Biotechnology Corp.,2015-02-26,2020-02-26
MAL10021843TR,HUNZA LIFE SOROKINA TABLETS,NATURAL PRODUCT,CHANNEL DEGREE SDN. BHD.,Gong Bih Enterprise Co. Ltd.,2015-02-26,2020-02-26
MAL15025013T,Herbaton Ba Bao Powder,NATURAL PRODUCT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2015-02-26,2020-02-26
MAL10021959X,GIFFARINE  ActiVite,HEALTH SUPPLEMENT,Giffarine Skyline Unity (M) Sdn. Bhd.,Skyline Health Care Co. Ltd,2015-02-26,2020-02-26
MAL15025003T,Herbaton Tui Re Powder,NATURAL PRODUCT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2015-02-26,2020-02-26
MAL15025028NCR,Vitamode SUPERBA KRILL OIL 500mg SOFTGELS,HEALTH SUPPLEMENT,MEDISPEC (M) SDN. BHD.,Ayanda GmbH & Co.KG,2015-02-27,2020-02-27
MAL19950180AEZ,METOMIDE TABLET 10MG,PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-02-27,2020-02-27
MAL20021549TC,HONG KONG WAN KAH CHOON REN SHEN CHONG CAO ZHEN ZHU PLUS PAK FOONG WAN,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-02-27,2020-02-27
MAL20002391TC,JUI FUNG SU HER WAN TINY PILL (GOLDEN JMS BRAND),NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-02-27,2020-02-27
MAL15025048TC,NZYMEPOP SEAWEED (Eucheuma Cottonii) Vcap,NATURAL PRODUCT,POP GRAPES ENZYME SDN. BHD.,GREEN PLUS NATURAL PLANT PRODUCTS,2015-02-27,2020-02-27
MAL20002606TC,CHOO PEH CHIN CHOO JUN GING WAN (GOLDEN JMS BRAND),NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-02-27,2020-02-27
MAL19950105AEZ,DEXTRAMINE TABLET 2MG,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2015-02-27,2020-02-27
MAL20152459NCE,Cera-5,HEALTH SUPPLEMENT,Capetown Wonder Sdn. Bhd.,WHITE HERON PHARMACEUTICAL SDN. BHD.,2015-02-27,2020-02-28
MAL19987752T,BAN SAN CHAN CHING FONG SAN 1.5GM SERBUK,NATURAL PRODUCT,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-03-03,2020-03-03
MAL05032622TC,"Minyak Asbab Anjib, cecair, 60 ml",NATURAL PRODUCT,ASBAB ANJAIB MARKETING,SERI MH UMMI SDN BHD,2015-03-23,2020-03-23
MAL05032680T,Nutravite MacaMax Capsule 400mg,NATURAL PRODUCT,NUTRA SOURCE SDN. BHD.,ACE HEALTH PRODUCTS SDN. BHD.,2015-03-23,2020-03-23
MAL05032651TC,Minyak Pala Plus,NATURAL PRODUCT,ASBAB ANJAIB MARKETING,SERI MH UMMI SDN BHD,2015-03-23,2020-03-23
MAL05032649TC,Minyak Gamat Plus,NATURAL PRODUCT,ASBAB ANJAIB MARKETING,SERI MH UMMI SDN BHD,2015-03-23,2020-03-23
MAL19961093T,STOWELL,NATURAL PRODUCT,BINARY CONSOLIDATION SDN. BHD.,PT TENAGA TANI FARMA,2015-03-24,2020-03-24
MAL19962430TR,ALLEPO,NATURAL PRODUCT,BINARY CONSOLIDATION SDN. BHD.,PT TENAGA TANI FARMA,2015-03-24,2020-03-24
MAL10033162XCR,Kordel’s Kid’s Omega-3 Bites Chewable Softgel Capsules,HEALTH SUPPLEMENT,CAMBERT(M) SDN. BHD.,SPHERE HEALTHCARE PTY LTD,2015-03-26,2020-03-26
MAL20001739TC,LO HAN KUO COUGH SYRUP (TIAN SAN BRAND),NATURAL PRODUCT,NEW OVERSEAS UNION TRADING,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-03-27,2020-03-27
MAL20001166TC,STOMACH-ACHE POWDER (TIAN SAN BRAND),NATURAL PRODUCT,NEW OVERSEAS UNION TRADING,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-03-27,2020-03-27
MAL15030021HA,PRO-COLI SOLUTION liquid,VETERINARY ,Sm Livestock & Farming,Asia Nutri-Chemical (M) Sdn. Bhd,2015-03-31,2020-03-31
MAL15030021HA,PRO-COLI SOLUTION liquid,VETERINARY ,Sm Livestock & Farming,,2015-03-31,2020-03-31
MAL15030022HA,AMPROVET 200 POWDER,VETERINARY ,Sm Livestock & Farming,,2015-03-31,2020-03-31
MAL15030022HA,AMPROVET 200 POWDER,VETERINARY ,Sm Livestock & Farming,Asia Nutri-Chemical (M) Sdn. Bhd,2015-03-31,2020-03-31
MAL20172749AEZ,BASALOG Insulin Glargine Injection (rDNA origin) 100 IU/mL,PRESCRIPTION,BIOCON SDN BHD,BIOCON SDN BHD,2018-03-30,2020-03-31
MAL15045027TC,RV PROPOLIS LIQUID,NATURAL PRODUCT,Real Vantage Sdn. Bhd.,Kin Herbs Pharma Sdn. Bhd.,2015-04-03,2020-04-03
MAL15045048N,BON Probiokidz Powder (Vanilla Flavor),HEALTH SUPPLEMENT,UNISON NUTRACEUTICALS SDN. BHD.,UNISON NUTRACEUTICALS SDN. BHD.,2015-04-03,2020-04-03
MAL15040028TC,Bioherbs Tongkat Ali GOLD Capsule,NATURAL PRODUCT,CNZ BIOTECH SDN. BHD.,Bioalpha International Sdn. Bhd.,2015-04-03,2020-04-03
MAL15045026T,NIU SHANG TIE DA WAN (SHANGHAI BRAND),NATURAL PRODUCT,Sin Hup Heng Medicine Manufacturing Sdn Bhd,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-04-03,2020-04-03
MAL19961508T,POH LIN BRAND JUN GING PILLS,NATURAL PRODUCT,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-04-03,2020-04-03
MAL19961501T,CHANG - SZE - LONG CHIN CHING SAN,NATURAL PRODUCT,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-04-03,2020-04-03
MAL19961520T,BAN KAH CHAI SU HO OIL,NATURAL PRODUCT,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-04-03,2020-04-03
MAL19950104AZ,TIDACT INJECTION 150MG/ML (2ML VIAL),PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN. BHD.,YUNG SHIN PHARM INDUSTRIAL CO LTD,2015-04-05,2020-04-05
MAL20000556TC,LING ZHI LESS-TEROL PLUS CAPSULE,NATURAL PRODUCT,Perniagaan Ubat Tradisional Wei Hong,EXCEL HERBAL INDUSTRIES SDN. BHD.,2015-04-08,2020-04-08
MAL15040046TC,GREATWALL BRAND ESSENCE OF GINKGO WITH GINSENG & CORDYCEPS,NATURAL PRODUCT,HERCULEAN FOOD INDUSTRIES SDN. BHD.,HERCULEAN FOOD INDUSTRIES SDN. BHD.,2015-04-30,2020-04-30
MAL05042004T,YIN YAN COUGH COLD RELIEF   Capsule  425mg,NATURAL PRODUCT,ANING RESOURCES SDN. BHD.,ANING RESOURCES SDN. BHD.,2015-04-30,2020-04-30
MAL15045114NC,LifeSense Flora Biotic Capsule,HEALTH SUPPLEMENT,HL PHARMACEUTICALS SDN. BHD.,HERBAL SCIENCE SDN. BHD.,2015-04-30,2020-04-30
MAL10043687AZ,Infafen Syrup 100mg/5ml,PRESCRIPTION,CHULIA PHARMA SDN BHD,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-04-30,2020-04-30
MAL05041893TCR,BiO-LiFE Gymnema & Fenugreek Complex Tablet,NATURAL PRODUCT,BIO-LIFE MARKETING SDN. BHD.,Lipa Pharmaceuticals Limited,2015-04-30,2020-04-30
MAL09082589TC,Premia Spirulina-Ex,NATURAL PRODUCT,Algaetech Sdn Bhd,Bioalpha International Sdn. Bhd.,2015-04-30,2020-04-30
MAL20000928TC,PI LING TAN,NATURAL PRODUCT,Perniagaan Ubat Tradisional Wei Hong,EXCEL HERBAL INDUSTRIES SDN. BHD.,2015-05-01,2020-05-01
MAL20000926TC,TAIRICO,NATURAL PRODUCT,Perniagaan Ubat Tradisional Wei Hong,EXCEL HERBAL INDUSTRIES SDN. BHD.,2015-05-01,2020-05-01
MAL20000927TC,TAIRI KING TONGKAT ALI PLUS,NATURAL PRODUCT,Perniagaan Ubat Tradisional Wei Hong,EXCEL HERBAL INDUSTRIES SDN. BHD.,2015-05-01,2020-05-01
MAL20102022AEZ,IBUPROFEN 400MG TABLETS,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2015-05-01,2020-05-01
MAL09082853T,CORDYCEPS LEM PLUS,NATURAL PRODUCT,Golden Seas Marketing Sdn Bhd,Bioalpha International Sdn. Bhd.,2015-05-25,2020-05-25
MAL15050013TC,GREATWALL BRAND ESSENCE OF CORDYCEPS & GINSENG PLUS,NATURAL PRODUCT,HERCULEAN FOOD INDUSTRIES SDN. BHD.,HERCULEAN FOOD INDUSTRIES SDN. BHD.,2015-05-25,2020-05-25
MAL05051137T,BAN KAH CHAI JIN KIAN WAN,NATURAL PRODUCT,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-05-28,2020-05-28
MAL10053697TC,Septiloc,NATURAL PRODUCT,Synercam (M) Sdn Bhd,M/s Shaleen Pharmaceuticals,2015-05-28,2020-05-28
MAL05051202T,AAZ Vapour Rub,NATURAL PRODUCT,DIAMOND MEDICAL COMPANY,DIAMOND MEDICAL COMPANY,2015-05-28,2020-05-28
MAL20001173TC,TAN SENG LING-ZHI PLUS,NATURAL PRODUCT,Perniagaan Ubat Tradisional Wei Hong,EXCEL HERBAL INDUSTRIES SDN. BHD.,2015-05-29,2020-05-29
MAL15065007N,Live-well® ALPHA LIPOIC ACID 150mg Tablet,HEALTH SUPPLEMENT,Live-Well Nutraceuticals Sdn. Bhd.,PAHANG PHARMACY SDN. BHD.,2015-06-24,2020-06-24
MAL15060003TC,Naraden Evoluv Capsule,NATURAL PRODUCT,NaRaden Herbs,SARI TANI DESA SDN. BHD.,2015-06-24,2020-06-24
MAL15065015TC,NeuroAid II MLC 901 Capsule,NATURAL PRODUCT,EP PLUS GROUP SDN. BHD.,Beacons Pharmaceuticals Pte Ltd,2015-06-24,2020-06-24
MAL15065005NZ,GWIYOMI Vitamin C 500mg Capsule,HEALTH SUPPLEMENT,Dby Smart Trading,Dby Smart Trading,2015-06-24,2020-06-24
MAL15065001NC,Opceden Fortigen Powder,HEALTH SUPPLEMENT,ASIA HEALTHCARE SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.,2015-06-24,2020-06-24
MAL15060031TC,GREATWALL BRAND ESSENCE OF CORDYCEPS PLUS,NATURAL PRODUCT,HERCULEAN FOOD INDUSTRIES SDN. BHD.,HERCULEAN FOOD INDUSTRIES SDN. BHD.,2015-06-29,2020-06-29
MAL05061523X,AO Pro Tablet,NON PRESCRIPTION,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.,"USANA HEALTH SCIENCES, INC",2015-07-02,2020-07-02
MAL05061524XZ,PVPI 10% Solution,NON PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-07-02,2020-07-02
MAL05061565TR,Huatuo plaster,NATURAL PRODUCT,PRIME PHARMACEUTICAL SDN. BHD.,FISHERMAN PHARM CO LTD,2015-07-02,2020-07-02
MAL20051397TC,INDOSHEN OIL,NATURAL PRODUCT,TEONG HUAT MEDICAL SDN. BHD.,DYNAPHARM HERBAL (M) SDN. BHD.,2015-07-03,2020-07-03
MAL15070031HA,Colistin Sulphate 10% w/w Oral Granules.,VETERINARY ,Hong Huey Sdn Bhd,"Zhejiang Apeloa Kangyu Bio-Pharmaceutical Co.,Ltd",2015-07-16,2020-07-16
MAL15070031HA,Colistin Sulphate 10% w/w Oral Granules.,VETERINARY ,Hong Huey Sdn Bhd,,2015-07-16,2020-07-16
MAL15070065HA,COLIMYCIN 10% Granules,VETERINARY ,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.,2015-07-28,2020-07-28
MAL15070065HA,COLIMYCIN 10% Granules,VETERINARY ,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.,2015-07-28,2020-07-28
MAL19912290XC,DEVITA ANTACID TABLET 500MG,NON PRESCRIPTION,KHENG HENG MEDICAL (M) SDN BHD,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-07-29,2020-07-29
MAL19912289XC,SUSUKI SOLUTION,NON PRESCRIPTION,KHENG HENG MEDICAL (M) SDN BHD,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-07-29,2020-07-29
MAL19912284XCZ,VITAKOO SYRUP,NON PRESCRIPTION,KHENG HENG MEDICAL (M) SDN BHD,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-07-29,2020-07-29
MAL05072099T,Tongkat Ali Capsule 350mg,NATURAL PRODUCT,DECHOICE SDN BHD,DECHOICE SDN BHD,2015-07-30,2020-07-30
MAL15075034NC,eVillage COLLA-HYDROLYSATE Powder,HEALTH SUPPLEMENT,EVILLAGE SDN BHD,XCELIFE PHARMA SDN BHD,2015-07-30,2020-07-30
MAL05090115T,MESRAGE KAPSUL Habbatus Sauda 500mg,NATURAL PRODUCT,MESRAGE TRADING & SERVICES SDN BHD,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2015-07-30,2020-07-30
MAL05072027AZ,Camprosone Cream 0.05% w/w,PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-07-30,2020-07-30
MAL10070584AZ,MENOREST (Tibolone 2.5mg per tablet),PRESCRIPTION,Vitamode  Sdn.bhd,RENATA  LIMITED,2015-07-30,2020-07-30
MAL15075009NC,BioVita Chlorophyllin Liquid,HEALTH SUPPLEMENT,MZ CLASSIC EVERGREEN ENTERPRISE,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN. BHD.,2015-07-30,2020-07-30
MAL20102059XEZ,UniRINS CG,NON PRESCRIPTION,AIN MEDICARE SDN. BHD.,AIN MEDICARE SDN. BHD.,2015-07-31,2020-07-31
MAL15085034HA,FLORSYN 25%  ORAL  SOLUTION,VETERINARY ,Ritma Prestasi Sdn Bhd,Beacons Pharmaceuticals Pte Ltd,2015-08-03,2020-08-03
MAL20152498TCE,Proliv Glicatrim Capsule,NATURAL PRODUCT,proliv life sciences sdn bhd,SARI TANI DESA SDN. BHD.,2015-08-03,2020-08-04
MAL15085085HA,APSASOL COLISTIN Powder 100 mg/g,VETERINARY ,Girona Veterinary,"Andrés Pintaluba, S.A",2015-08-20,2020-08-20
MAL15085086NC,NEW IMAGE COLOSTRUM 550mg TABLETS,HEALTH SUPPLEMENT,N.Z. NEW IMAGE SDN BHD,GMP PHARMACEUTICALS LTD,2015-08-20,2020-08-20
MAL15080002TC,Naraden Kromax Capsule,NATURAL PRODUCT,NaRaden Herbs,SARI TANI DESA SDN. BHD.,2015-08-20,2020-08-20
MAL15085046N,"SORIA-D VITAMIN-D3 1,000 i.u. Tablet",HEALTH SUPPLEMENT,Live-Well Nutraceuticals Sdn. Bhd.,PAHANG PHARMACY SDN. BHD.,2015-08-20,2020-08-20
MAL20152511TCE,TDB 24 Capsules,NATURAL PRODUCT,C S Z WORLDWIDE SDN. BHD.,NATURE PACK ENTERPRISE,2015-08-20,2020-08-21
MAL20001547ARZ,CYMEVENE 500MG VIALS,NEW CHEMICAL ENTITY,ROCHE (MALAYSIA) SDN. BHD.,F. HOFFMANN-LA ROCHE LTD,2015-08-27,2020-08-27
MAL20001714TC,"Hurix""s 900 FluCold Capsule",NATURAL PRODUCT,JIN BIN CORPORATION SDN. BHD.,J.B. PHARMACY GROUP SDN. BHD.,2015-08-27,2020-08-27
MAL19985738TC,CHEN CHU HO CHOU SAN (POWDER),NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20012939TC,JUI FUNG SU HER WAN (GOLDEN JMS BRAND),NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL19985734TC,JING FONG SAN (MEDICINAL POWDER) 0.5G,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20002601TC,DA MENG LONG,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20031857TC,JMS CHEW SENG TONG REN SHEN CHONG CAO WU KAI PLUS PAK FOONG WAN,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20002390TC,CHOO PEH CHIN CHOO JUN GING SAN (GOLDEN JMS BRAND),NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20021207TC,JMS-SEALGLOBE PAU SOM HANG CHOW KAP KAI PLUS SANPIEN WAN TINY PILL,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL19985733TC,PIL SU HUP WAN 3GM,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20020952TC,JMS-HENG HENG LOH HAN KOW KENG WAN TINY PILL,NATURAL PRODUCT,PERNIAGAAN MEDI JAYA (M) SDN. BHD.,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2015-08-28,2020-08-28
MAL20040073TS,NOCO,NATURAL PRODUCT,EXTRA EXCEL (MALAYSIA) SDN. BHD.,Extra Excellence Manufacturing (S) Pte. Ltd.,2015-08-28,2020-08-28
MAL19921271AZ,DICLO 25 TABLET,PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2018-08-30,2020-08-30
MAL19920339XZ,ANTIPHEN TABLET,NON PRESCRIPTION,LAM TAT TRADING COMPANY,SUNWARD PHARMACEUTICAL SDN. BHD.,2015-09-03,2020-09-03
MAL19912234XZ,IDAMAN PHARMA CALAMINE LOTION,NON PRESCRIPTION,INSPIRAPHARMA SDN. BHD.,INSPIRAPHARMA SDN. BHD.,2015-09-03,2020-09-03
MAL05090051TC,ZN Seven Minyak Habbatus Sauda Plus,NATURAL PRODUCT,ASBAB ANJAIB MARKETING,SERI MH UMMI SDN BHD,2015-09-03,2020-09-03
MAL19913303XR,DUOFILM,NON PRESCRIPTION,Haleon Malaysia Sdn. Bhd.,STIEFEL LABS (IRELAND) LTD,2015-09-03,2020-09-03
MAL19911759XCR,NATURERICH VITAMIN E 200 I.U.,HEALTH SUPPLEMENT,PRO NUTRITION (MALAYSIA) SDN. BHD.,"NBTY Manufacturing, LLC",2015-09-03,2020-09-03
MAL05090066T,BAN KAH CHAI JUN GING PILLS,NATURAL PRODUCT,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-09-03,2020-09-03
MAL10012443TC,"Kapsul La"" SINAR AYU PMA 500mg",NATURAL PRODUCT,PERUSAHAAN MUSTIKA AYU,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2015-09-28,2020-09-28
MAL09100252TC,Kapsul Tongkat Ali Habatusauda Plus PMA 500mg,NATURAL PRODUCT,PERUSAHAAN MUSTIKA AYU,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2015-09-28,2020-09-28
MAL15095031XZ,AQUEPRO CREAM,NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2015-09-28,2020-09-28
MAL15090006TC,Greatwall Brand Essence of Quinquefolius & Cordyceps,NATURAL PRODUCT,HERCULEAN FOOD INDUSTRIES SDN. BHD.,HERCULEAN FOOD INDUSTRIES SDN. BHD.,2015-09-28,2020-09-28
MAL15090001TC,WOF Tongkat Ali Capsule,NATURAL PRODUCT,WELLNESS ORGANIC FARM,TPM NEXUS SDN. BHD.,2015-09-28,2020-09-28
MAL20152514XE,Tiger Balm Lotion,NON PRESCRIPTION,TIGER BALM (M) SDN. BHD.,TIGER BALM (M) SDN. BHD.,2015-09-28,2020-09-29
MAL05092420TC,TRADITIONAL JUN GING PILLS,NATURAL PRODUCT,GMP PRODUCTS MARKETING SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-10-01,2020-10-01
MAL05092346TC,BAN SAN CHAN JUN GING PILLS,NATURAL PRODUCT,BAN SAN CHAN (MELAKA) SDN BHD,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-10-01,2020-10-01
MAL05092277T,Minyak Buah Pala Plus,NATURAL PRODUCT,DIAMOND MEDICAL COMPANY,DIAMOND MEDICAL COMPANY,2015-10-01,2020-10-01
MAL05092322TC,BAKSING JUN GING POWDER PLUS,NATURAL PRODUCT,GMP PRODUCTS MARKETING SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-10-01,2020-10-01
MAL05092292T,MINYAK AKAR AKAR KAYU,NATURAL PRODUCT,KOLEKSI IDAMAN WANITA,KOLEKSI IDAMAN WANITA,2015-10-01,2020-10-01
MAL05092291T,MINYAK AKAR KAYU (MINYAK PAK ALI),NATURAL PRODUCT,KOLEKSI IDAMAN WANITA,KOLEKSI IDAMAN WANITA,2015-10-01,2020-10-01
MAL05092290T,MINYAK WARISAN PAK ALI,NATURAL PRODUCT,KOLEKSI IDAMAN WANITA,KOLEKSI IDAMAN WANITA,2015-10-01,2020-10-01
MAL05092422TC,TRADITIONAL JING FENG SAN,NATURAL PRODUCT,GMP PRODUCTS MARKETING SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-10-01,2020-10-01
MAL05092466TC,PIL BIJI UBAT CHAN FUI LOONG,NATURAL PRODUCT,CHAN FUI LOONG MEDICAL HALL,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2015-10-01,2020-10-01
MAL05092306TC,Sensaoi,NATURAL PRODUCT,Lovelure Holdings Sdn. Bhd,ART SOULIST HOLDINGS SDN. BHD.,2015-10-01,2020-10-01
MAL05092352T,BAM  RESDONG  PETANI PLUS,NATURAL PRODUCT,SYARIKAT ZULKIFLI BAMADHAJ,SYARIKAT ZULKIFLI BAMADHAJ,2015-10-01,2020-10-01
MAL19950331X,SENNA TABLET (E/C),NON PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-10-05,2020-10-05
MAL10100079TC,PINE PLUS,NATURAL PRODUCT,Quality Brand Sdn Bhd,THE ORIGIN FOODS SDN. BHD.,2015-10-06,2020-10-06
MAL10100022ACZ,SOLULEXIN CAPSULE 250MG,PRESCRIPTION,DUOPHARMA (M) SENDIRIAN BERHAD,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2015-10-06,2020-10-06
MAL10100058XCR,BIO-LIFE MULTIVITAMINS with MINERALS tablets,HEALTH SUPPLEMENT,BIO-LIFE MARKETING SDN. BHD.,Lipa Pharmaceuticals Limited,2015-10-06,2020-10-06
MAL10100021ACZ,SOLULEXIN CAPSULE 500MG,PRESCRIPTION,DUOPHARMA (M) SENDIRIAN BERHAD,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2015-10-06,2020-10-06
MAL10100078TC,SUPRE PINE,NATURAL PRODUCT,Quality Brand Sdn Bhd,THE ORIGIN FOODS SDN. BHD.,2015-10-06,2020-10-06
MAL20102076AEZ,GF-500 TABLET,PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-10-07,2020-10-07
MAL20102075AEZ,MALACAM TABLET 300MG,PRESCRIPTION,BIOSIS PHARMACEUTICALS SDN. BHD.,BIOSIS PHARMACEUTICALS SDN. BHD.,2015-10-07,2020-10-07
MAL20102074AEZ,PREDNISOLONE TABLET 5MG,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2015-10-07,2020-10-07
MAL05090031T,Mach - Oil,NATURAL PRODUCT,ART SOULIST HOLDINGS SDN. BHD.,ART SOULIST HOLDINGS SDN. BHD.,2015-10-08,2020-10-08
MAL10070633TC,NURIZ KAPSUL MANJAKANI RAPAT PLUS 400mg,NATURAL PRODUCT,Progressive Plus Industries Sdn Bhd,SABIT BANANI INDUSTRIES SDN BHD,2015-10-08,2020-10-08
MAL10080095TC,NURIZ KAPSUL HARUAN MANJAKANI PLUS 400mg,NATURAL PRODUCT,Progressive Plus Industries Sdn Bhd,SABIT BANANI INDUSTRIES SDN BHD,2015-10-08,2020-10-08
MAL20152526TCE,KHANG SHEN HERBS MISAI KUCING TEA 3g,NATURAL PRODUCT,KHANG SHEN HERBS SDN BHD,WHITE HERON PHARMACEUTICAL SDN. BHD.,2015-10-26,2020-10-26
MAL10100036HA,COLI 2MIU Powder,VETERINARY ,Life Biopharma Sdn. Bhd.,,2015-10-28,2020-10-28
